Case Number,Case,Year,Offence,Outcome
865,Case 865,2016/17,Unauthorized aid,Suspension
866,Case 866,2016/17,Forgery of Academic Records,Expulsion
866,Case 866,2016/17,Forgery of Academic Records,Suspension
867,Case 867,2016/17,Forgery of Documents,Expulsion
867,Case 867,2016/17,Forgery of Documents,Notation on transcript
867,Case 867,2016/17,Forgery of Documents,Suspension
869,Case 869 - Sanction,2017/18,Unauthorized aid,Grade Assignment of 0 for course
869,Case 869 - Sanction,2017/18,Unauthorized aid,Notation on transcript
869,Case 869 - Sanction,2017/18,Unauthorized aid,Suspension
870,Case 870,2016/17,Forgery of Documents,Expulsion
870,Case 870,2016/17,Forgery of Documents,Grade Assignment of 0 for course
870,Case 870,2016/17,Forgery of Documents,Notation on transcript
870,Case 870,2016/17,Plagiarism and/or purchased essay,Expulsion
870,Case 870,2016/17,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
870,Case 870,2016/17,Plagiarism and/or purchased essay,Notation on transcript
872,Case 872,2016/17,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
872,Case 872,2016/17,Plagiarism and/or purchased essay,Notation on transcript
872,Case 872,2016/17,Plagiarism and/or purchased essay,Suspension
873,Case 873,2016/17,Forgery of Documents,Grade Assignment of 0 for course
873,Case 873,2016/17,Forgery of Documents,Notation on transcript
873,Case 873,2016/17,Forgery of Documents,Suspension
880,Case 880,2017/18,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
880,Case 880,2017/18,Plagiarism and/or purchased essay,Notation on transcript
880,Case 880,2017/18,Plagiarism and/or purchased essay,Suspension
880,Case 880,2017/18,Unauthorized aid,Grade Assignment of 0 for course
880,Case 880,2017/18,Unauthorized aid,Notation on transcript
880,Case 880,2017/18,Unauthorized aid,Suspension
881,Case 881,2016/17,Unauthorized aid,Notation on transcript
881,Case 881,2016/17,Unauthorized aid,Suspension
883,Case 883,2017/18,Forgery of Documents,Grade Assignment of 0 for course
883,Case 883,2017/18,Forgery of Documents,Notation on transcript
885,Case 885,2016/17,Unauthorized aid,Grade Assignment of 0 for course
885,Case 885,2016/17,Unauthorized aid,Notation on transcript
885,Case 885,2016/17,Unauthorized aid,Suspension
886,Case 886,2016/17,Unauthorized aid,Grade Assignment of 0 for course
886,Case 886,2016/17,Unauthorized aid,Grade Assignment of 0 for course
886,Case 886,2016/17,Unauthorized aid,Notation on transcript
886,Case 886,2016/17,Unauthorized aid,Suspension
888,Case 888,2016/17,Forgery of Documents,Grade Assignment of 0 for course
888,Case 888,2016/17,Forgery of Documents,Notation on transcript
888,Case 888,2016/17,Forgery of Documents,Suspension
888,Case 888,2016/17,Impersonation,Grade Assignment of 0 for course
888,Case 888,2016/17,Impersonation,Notation on transcript
888,Case 888,2016/17,Impersonation,Suspension
892,Case 892,2016/17,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
892,Case 892,2016/17,Plagiarism and/or purchased essay,Notation on transcript
892,Case 892,2016/17,Plagiarism and/or purchased essay,Suspension
894,Case 894,2016/17,Forgery of Documents,Notation on transcript
894,Case 894,2016/17,Forgery of Documents,Suspension
895,Case 895,2017/18,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
895,Case 895,2017/18,Plagiarism and/or purchased essay,Notation on transcript
895,Case 895,2017/18,Plagiarism and/or purchased essay,Suspension
896,Case 896,2016/17,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
896,Case 896,2016/17,Plagiarism and/or purchased essay,Notation on transcript
896,Case 896,2016/17,Plagiarism and/or purchased essay,Suspension
899,Case 899,2017/18,Forgery of Academic Records,Expulsion
899,Case 899,2017/18,Forgery of Academic Records,Notation on transcript
899,Case 899,2017/18,Forgery of Academic Records,Suspension
901,Case 901,2017/18,Plagiarism and/or purchased essay,Expulsion
901,Case 901,2017/18,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
901,Case 901,2017/18,Plagiarism and/or purchased essay,Notation on transcript
903,Case 903,2016/17,Forgery of Documents,Grade Assignment of 0 for course
903,Case 903,2016/17,Forgery of Documents,Notation on transcript
903,Case 903,2016/17,Forgery of Documents,Suspension
904,Case 904,2017/18,Forgery of Academic Records,Expulsion
905,Case 905,2017/18,Forgery of Academic Records,Suspension
906,Case 906,2017/18,Unauthorized aid,Notation on transcript
906,Case 906,2017/18,Unauthorized aid,Suspension
907,Case 907,2016/17,Forgery of Documents,Grade Assignment of 0 for course
907,Case 907,2016/17,Forgery of Documents,Notation on transcript
907,Case 907,2016/17,Forgery of Documents,Suspension
910,Case 910,2016/17,Plagiarism and/or purchased essay,Notation on transcript
910,Case 910,2016/17,Plagiarism and/or purchased essay,Suspension
911,Case 911,2017/18,Plagiarism and/or purchased essay,Notation on transcript
911,Case 911,2017/18,Plagiarism and/or purchased essay,Suspension
913,Case 913,2017/18,Creating false data and/or fabricating academic sources,Expulsion
913,Case 913,2017/18,Creating false data and/or fabricating academic sources,Suspension
913,Case 913,2017/18,Forgery of Academic Records,Expulsion
913,Case 913,2017/18,Forgery of Academic Records,Suspension
914,Case 914,2017/18,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
914,Case 914,2017/18,Plagiarism and/or purchased essay,Notation on transcript
914,Case 914,2017/18,Plagiarism and/or purchased essay,Suspension
915,Case 915,2016/17,Forgery of Academic Records,Expulsion
915,Case 915,2016/17,Forgery of Academic Records,Suspension
916,Case 916,2017/18,Plagiarism and/or purchased essay,Degree suspension or recall
916,Case 916,2017/18,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
916,Case 916,2017/18,Plagiarism and/or purchased essay,Notation on transcript
917,Case 917,2016/17,Forgery of Academic Records,Expulsion
917,Case 917,2016/17,Forgery of Academic Records,Suspension
918,Case 918,2016/17,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
918,Case 918,2016/17,Plagiarism and/or purchased essay,Notation on transcript
918,Case 918,2016/17,Plagiarism and/or purchased essay,Suspension
921,Case 921,2017/18,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
921,Case 921,2017/18,Academic Dishonesty Not Otherwise Described,Notation on transcript
921,Case 921,2017/18,Academic Dishonesty Not Otherwise Described,Suspension
921,Case 921,2017/18,Forgery of Documents,Grade Assignment of 0 for course
921,Case 921,2017/18,Forgery of Documents,Notation on transcript
921,Case 921,2017/18,Forgery of Documents,Suspension
922,Case 922,2017/18,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
922,Case 922,2017/18,Plagiarism and/or purchased essay,Notation on transcript
922,Case 922,2017/18,Plagiarism and/or purchased essay,Suspension
922,Case 922,2017/18,Unauthorized aid,Grade Assignment of 0 for course
922,Case 922,2017/18,Unauthorized aid,Notation on transcript
922,Case 922,2017/18,Unauthorized aid,Suspension
923,Case 923,2017/18,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
923,Case 923,2017/18,Plagiarism and/or purchased essay,Notation on transcript
923,Case 923,2017/18,Plagiarism and/or purchased essay,Suspension
924,Case 924,2017/18,Forgery of Documents,Notation on transcript
924,Case 924,2017/18,Forgery of Documents,Suspension
925,Case 925,2017/18,Forgery of Academic Records,Expulsion
925,Case 925,2017/18,Forgery of Academic Records,Suspension
926,Case 926,2017/18,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
926,Case 926,2017/18,Creating false data and/or fabricating academic sources,Notation on transcript
926,Case 926,2017/18,Creating false data and/or fabricating academic sources,Suspension
926,Case 926,2017/18,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
926,Case 926,2017/18,Plagiarism and/or purchased essay,Notation on transcript
926,Case 926,2017/18,Plagiarism and/or purchased essay,Suspension
926,Case 926,2017/18,Unauthorized aid,Grade Assignment of 0 for course
926,Case 926,2017/18,Unauthorized aid,Notation on transcript
926,Case 926,2017/18,Unauthorized aid,Suspension
927,Case 927,2017/18,Forgery of Academic Records,Expulsion
928,Case 928,2016/17,Forgery of Academic Records,Expulsion
928,Case 928,2016/17,Forgery of Academic Records,Suspension
928,Case 928,2016/17,Unauthorized aid,Expulsion
928,Case 928,2016/17,Unauthorized aid,Suspension
931,Case 931,2017/18,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
931,Case 931,2017/18,Creating false data and/or fabricating academic sources,Notation on transcript
931,Case 931,2017/18,Creating false data and/or fabricating academic sources,Suspension
931,Case 931,2017/18,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
931,Case 931,2017/18,Plagiarism and/or purchased essay,Notation on transcript
931,Case 931,2017/18,Plagiarism and/or purchased essay,Suspension
932,Case 932,2017/18,Forgery of Academic Records,Expulsion
932,Case 932,2017/18,Forgery of Academic Records,Notation on transcript
932,Case 932,2017/18,Forgery of Academic Records,Suspension
933,Case 933,2017/18,Forgery of Academic Records,Notation on transcript
933,Case 933,2017/18,Forgery of Academic Records,Suspension
935,Case 935,2018/19,Plagiarism and/or purchased essay,Notation on transcript
935,Case 935,2018/19,Plagiarism and/or purchased essay,Reduced Grade
935,Case 935,2018/19,Plagiarism and/or purchased essay,Suspension
935,Case 935,2018/19,Unauthorized aid,Notation on transcript
935,Case 935,2018/19,Unauthorized aid,Reduced Grade
935,Case 935,2018/19,Unauthorized aid,Suspension
941,Case 941,2017/18,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
941,Case 941,2017/18,Academic Dishonesty Not Otherwise Described,Notation on transcript
941,Case 941,2017/18,Academic Dishonesty Not Otherwise Described,Suspension
941,Case 941,2017/18,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
941,Case 941,2017/18,Plagiarism and/or purchased essay,Notation on transcript
941,Case 941,2017/18,Plagiarism and/or purchased essay,Suspension
942,Case 942,2018/19,Forgery of Academic Records,Suspension
944,Case 944,2017/18,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
944,Case 944,2017/18,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
944,Case 944,2017/18,Plagiarism and/or purchased essay,Notation on transcript
944,Case 944,2017/18,Plagiarism and/or purchased essay,Suspension
951,Case 951,2017/18,Forgery of Academic Records,Expulsion
951,Case 951,2017/18,Forgery of Academic Records,Notation on transcript
951,Case 951,2017/18,Forgery of Academic Records,Suspension
952,Case 952,2017/18,Forgery of Academic Records,Expulsion
952,Case 952,2017/18,Forgery of Academic Records,Grade Assignment of 0 for course
952,Case 952,2017/18,Forgery of Academic Records,Notation on transcript
952,Case 952,2017/18,Forgery of Academic Records,Suspension
954,Case 954,2018/19,Forgery of Academic Records,Expulsion
954,Case 954,2018/19,Forgery of Academic Records,Suspension
957,Case 957,2018/19,Forgery of Academic Records,Expulsion
957,Case 957,2018/19,Forgery of Academic Records,Suspension
958,Case 958,2017/18,Forgery of Academic Records,Expulsion
958,Case 958,2017/18,Forgery of Academic Records,Notation on transcript
958,Case 958,2017/18,Forgery of Academic Records,Suspension
959,Case 959,2018/19,Forgery of Academic Records,Notation on transcript
959,Case 959,2018/19,Forgery of Academic Records,Suspension
960,Case 960,2017/18,Forgery of Academic Records,Expulsion
960,Case 960,2017/18,Forgery of Academic Records,Notation on transcript
960,Case 960,2017/18,Forgery of Academic Records,Suspension
963,Case 963,2018/19,Forgery of Academic Records,Expulsion
963,Case 963,2018/19,Forgery of Academic Records,Notation on transcript
963,Case 963,2018/19,Forgery of Academic Records,Suspension
966,Case 966,2018/19,Forgery of Academic Records,Expulsion
966,Case 966,2018/19,Forgery of Academic Records,Notation on transcript
966,Case 966,2018/19,Forgery of Academic Records,Suspension
967,Case 967,2017/18,Unauthorized aid,Degree suspension or recall
967,Case 967,2017/18,Unauthorized aid,Notation on transcript
970,Case 970,2018/19,Forgery of Academic Records,Expulsion
970,Case 970,2018/19,Forgery of Academic Records,Suspension
971,Case 971,2018/19,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
971,Case 971,2018/19,Academic Dishonesty Not Otherwise Described,Notation on transcript
971,Case 971,2018/19,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
971,Case 971,2018/19,Plagiarism and/or purchased essay,Notation on transcript
971,Case 971,2018/19,Plagiarism and/or purchased essay,Suspension
972,Case 972,2018/19,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
972,Case 972,2018/19,Plagiarism and/or purchased essay,Notation on transcript
972,Case 972,2018/19,Plagiarism and/or purchased essay,Suspension
975,Case 975,2018/19,Forgery of Academic Records,Expulsion
975,Case 975,2018/19,Forgery of Academic Records,Notation on transcript
975,Case 975,2018/19,Forgery of Academic Records,Suspension
976,Case 976,2018/19,Forgery of Academic Records,Expulsion
976,Case 976,2018/19,Forgery of Academic Records,Notation on transcript
976,Case 976,2018/19,Forgery of Academic Records,Suspension
977,Case 977,2018/19,Forgery of Academic Records,Expulsion
977,Case 977,2018/19,Forgery of Academic Records,Notation on transcript
977,Case 977,2018/19,Forgery of Academic Records,Suspension
979,Case 979,2018/19,Forgery of Academic Records,Expulsion
979,Case 979,2018/19,Forgery of Academic Records,Notation on transcript
979,Case 979,2018/19,Forgery of Academic Records,Suspension
998,Case 998,2018/19,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
998,Case 998,2018/19,Plagiarism and/or purchased essay,Notation on transcript
998,Case 998,2018/19,Plagiarism and/or purchased essay,Suspension
1000,Case 1000,2018/19,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
1000,Case 1000,2018/19,Plagiarism and/or purchased essay,Notation on transcript
1000,Case 1000,2018/19,Plagiarism and/or purchased essay,Suspension
1003,Case 1003,2018/19,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
1003,Case 1003,2018/19,Plagiarism and/or purchased essay,Notation on transcript
1003,Case 1003,2018/19,Plagiarism and/or purchased essay,Suspension
3/4/2001,Case 03-04-01,2003/04,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
3/4/2001,Case 03-04-01,2003/04,Plagiarism and/or purchased essay,Notation on transcript
3/4/2001,Case 03-04-01,2003/04,Plagiarism and/or purchased essay,Suspension
3/4/2001,Case 03-04-01,2003/04,Unauthorized aid,Grade Assignment of 0 for course
3/4/2001,Case 03-04-01,2003/04,Unauthorized aid,Notation on transcript
3/4/2001,Case 03-04-01,2003/04,Unauthorized aid,Suspension
4/5/2001,Case 04-05-01,2004/05,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
4/5/2001,Case 04-05-01,2004/05,Plagiarism and/or purchased essay,Notation on transcript
4/5/2001,Case 04-05-01,2004/05,Plagiarism and/or purchased essay,Suspension
2/3/2002,Case 02-03-02,2002/03,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
2/3/2002,Case 02-03-02,2002/03,Plagiarism and/or purchased essay,Notation on transcript
2/3/2002,Case 02-03-02,2002/03,Plagiarism and/or purchased essay,Suspension
4/5/2002,Case 04-05-02,2004/05,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
4/5/2002,Case 04-05-02,2004/05,Plagiarism and/or purchased essay,Notation on transcript
4/5/2002,Case 04-05-02,2004/05,Plagiarism and/or purchased essay,Suspension
5/6/2002,Case 05-06-02,2005/06,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
5/6/2002,Case 05-06-02,2005/06,Creating false data and/or fabricating academic sources,Notation on transcript
5/6/2002,Case 05-06-02,2005/06,Creating false data and/or fabricating academic sources,Suspension
5/6/2002,Case 05-06-02,2005/06,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
5/6/2002,Case 05-06-02,2005/06,Plagiarism and/or purchased essay,Notation on transcript
5/6/2002,Case 05-06-02,2005/06,Plagiarism and/or purchased essay,Suspension
4/5/2003,Case 04-05-03,2004/05,Plagiarism and/or purchased essay,Expulsion
4/5/2003,Case 04-05-03,2004/05,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
4/5/2003,Case 04-05-03,2004/05,Plagiarism and/or purchased essay,Notation on transcript
4/5/2003,Case 04-05-03,2004/05,Unauthorized aid,Expulsion
4/5/2003,Case 04-05-03,2004/05,Unauthorized aid,Grade Assignment of 0 for course
4/5/2003,Case 04-05-03,2004/05,Unauthorized aid,Notation on transcript
4/5/2004,Case 04-05-04,2004/05,Unauthorized aid,Grade Assignment of 0 for course
4/5/2004,Case 04-05-04,2004/05,Unauthorized aid,Notation on transcript
4/5/2004,Case 04-05-04,2004/05,Unauthorized aid,Suspension
4/5/2008,Case 04-05-08,2004/05,Unauthorized aid,Grade Assignment of 0 for course
4/5/2008,Case 04-05-08,2004/05,Unauthorized aid,Notation on transcript
4/5/2008,Case 04-05-08,2004/05,Unauthorized aid,Suspension
4/5/2009,Case 04-05-09,2004/05,Unauthorized aid,Grade Assignment of 0 for course
4/5/2009,Case 04-05-09,2004/05,Unauthorized aid,Notation on transcript
4/5/2009,Case 04-05-09,2004/05,Unauthorized aid,Suspension
4/5/2010,Case 04-05-10,2004/05,Unauthorized aid,Grade Assignment of 0 for course
4/5/2010,Case 04-05-10,2004/05,Unauthorized aid,Notation on transcript
4/5/2010,Case 04-05-10,2004/05,Unauthorized aid,Suspension
4/5/2011,Case 04-05-11,2004/05,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
4/5/2011,Case 04-05-11,2004/05,Creating false data and/or fabricating academic sources,Notation on transcript
4/5/2011,Case 04-05-11,2004/05,Creating false data and/or fabricating academic sources,Suspension
4/5/2011,Case 04-05-11,2004/05,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
4/5/2011,Case 04-05-11,2004/05,Plagiarism and/or purchased essay,Notation on transcript
4/5/2011,Case 04-05-11,2004/05,Plagiarism and/or purchased essay,Suspension
00-01-01,Case 00-01-01,2000/01,Unauthorized aid,Acquittal
00-01-02,Case 00-01-02 . . . Case 00-01-01,2000/01,Unauthorized aid,Acquittal
00-01-04,Case 00-01-04 . . . Case 00-01-06,2000/01,Plagiarism and/or purchased essay,Notation on transcript
00-01-06,Case 00-01-06,2000/01,Plagiarism and/or purchased essay,Notation on transcript
00-01-07,Case 00-01-07 . . . Case 00-01-08,2000/01,Impersonation,Grade Assignment of 0 for course
00-01-07,Case 00-01-07 . . . Case 00-01-08,2000/01,Impersonation,Notation on transcript
00-01-07,Case 00-01-07 . . . Case 00-01-08,2000/01,Impersonation,Suspension
00-01-08,Case 00-01-08,2000/01,Impersonation,Expulsion
